tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
620,7412,5162,41,5,False,1,8,7,24,tile_620.gb
621,9250,7000,41,6,True,0,6,6,20,tile_621.gb
622,9250,7000,41,7,False,2,4,7,21,tile_622.gb
623,9476,7226,41,8,True,0,5,5,18,tile_623.gb
624,9125,6875,41,9,True,0,4,3,15,tile_624.gb
625,8295,6045,41,10,True,0,6,5,19,tile_625.gb
626,9250,7000,41,11,False,0,8,7,24,tile_626.gb
627,9250,7000,41,12,False,0,6,6,21,tile_627.gb
628,9309,7059,41,13,True,0,5,5,18,tile_628.gb
629,8490,6240,41,14,False,0,9,8,26,tile_629.gb
630,8250,6000,42,0,False,0,6,6,21,tile_630.gb
631,8250,6000,42,1,True,0,7,6,21,tile_631.gb
632,9250,7000,42,2,False,1,7,7,23,tile_632.gb
633,8250,6000,42,3,True,0,6,5,19,tile_633.gb
634,8683,6433,42,4,False,2,8,7,25,tile_634.gb
635,7673,5423,42,5,False,1,4,3,16,tile_635.gb
636,11166,8916,42,6,True,0,8,7,23,tile_636.gb
637,8874,6624,42,7,True,0,8,7,23,tile_637.gb
638,9570,7320,42,8,True,0,11,10,29,tile_638.gb
639,10066,7816,42,9,True,0,8,7,23,tile_639.gb
640,9043,6793,42,10,True,0,7,6,21,tile_640.gb
641,8485,6235,42,11,True,0,5,4,17,tile_641.gb
642,8250,6000,42,12,True,0,5,4,17,tile_642.gb
643,9395,7145,42,13,True,0,9,8,25,tile_643.gb
644,8250,6000,42,14,True,0,4,4,16,tile_644.gb
645,8250,6000,43,0,True,0,6,7,21,tile_645.gb
646,8250,6000,43,1,True,0,7,6,21,tile_646.gb
647,10157,7907,43,2,True,0,12,11,31,tile_647.gb
648,9302,7052,43,3,False,0,6,5,20,tile_648.gb
649,8926,6676,43,4,True,0,8,10,26,tile_649.gb
650,9501,7251,43,5,False,1,7,6,22,tile_650.gb
651,8959,6709,43,6,True,0,7,6,21,tile_651.gb
652,8250,6000,43,7,True,0,8,7,23,tile_652.gb
653,8416,6166,43,8,True,0,9,8,25,tile_653.gb
654,8795,6545,43,9,True,0,11,11,30,tile_654.gb
655,10098,7848,43,10,True,0,8,7,23,tile_655.gb
656,8065,5815,43,11,True,0,7,6,21,tile_656.gb
657,9522,7272,43,12,True,0,7,6,21,tile_657.gb
658,8250,6000,43,13,True,0,6,5,19,tile_658.gb
659,9258,7008,43,14,True,0,6,6,20,tile_659.gb
660,9911,7661,44,0,True,0,6,5,19,tile_660.gb
661,9180,6930,44,1,True,0,10,9,27,tile_661.gb
662,9279,7029,44,2,True,0,7,6,21,tile_662.gb
663,9109,6859,44,3,True,0,8,7,23,tile_663.gb
664,8854,6604,44,4,False,0,6,7,21,tile_664.gb
665,8250,6000,44,5,False,1,5,6,20,tile_665.gb
666,8300,6050,44,6,False,0,6,8,23,tile_666.gb
667,9134,6884,44,7,False,1,6,6,23,tile_667.gb
668,9667,7417,44,8,False,1,8,8,26,tile_668.gb
669,9978,7728,44,9,False,2,10,10,31,tile_669.gb
670,10068,7818,44,10,False,1,8,10,27,tile_670.gb
671,10342,8092,44,11,False,0,7,7,23,tile_671.gb
672,7338,5088,44,12,True,0,6,5,19,tile_672.gb
673,10110,7860,44,13,True,0,12,11,31,tile_673.gb
